country;code;Region;Sub-region
Turkmenistan;TKM;Asia;Central Asia
Turks and Caicos Islands;TCA;Americas;Latin America and the Caribbean
Tuvalu;TUV;Oceania;Polynesia
Uganda;UGA;Africa;Sub-Saharan Africa
Ukraine;UKR;Europe;Eastern Europe
United Arab Emirates;ARE;Asia;Western Asia
United Kingdom;GBR;Europe;Northern Europe
United States of America;USA;Americas;Northern America
Uruguay;URY;Americas;Latin America and the Caribbean
Uzbekistan;UZB;Asia;Central Asia
Vanuatu;VUT;Oceania;Melanesia
Venezuela;VEN;Americas;Latin America and the Caribbean
Viet Nam;VNM;Asia;South-eastern Asia
Virgin Islands British;VGB;Americas;Latin America and the Caribbean
Virgin Islands US;VIR;Americas;Latin America and the Caribbean
Yemen;YEM;Asia;Western Asia
Zambia;ZMB;Africa;Sub-Saharan Africa
Zimbabwe;ZWE;Africa;Sub-Saharan Africa
